1A,1B,1C,2,← Groups from AD normalisation
,,,,
,YDR302W,,YPR029C,
,YDR304C,,YPR045C,
,YDR305C,,YPR081C,
,YDR306C,,YPR086W,
,YDR311W,,YPR088C,
,YDR315C,,YPR089W,
,YDR317W,,YPR108W,
,YDR318W,,YPR110C,
,YDR320C-A,,YPR124W,
,YDR320W-B,,YPR133C,
,YDR321W,,YPR158W,
,YDR322C-A,,YPR159W,
,YDR323C,,YPR181C,
,YDR328C,,,
,YDR330W,,,
,YDR332W,,,
,YDR336W,,,
,YDR338C,,,
,YDR339C,,,
,YDR347W,,,
,YDR349C,,,
,YDR350C,,,
,YDR352W,,,
,YDR354W,,,
,YDR357C,,,
,YDR361C,,,
,YDR362C,,,
,YDR363W-A,,,
,YDR364C,,,
,YDR367W,,,
,YDR368W,,,
,YDR370C,,,
,YDR371W,,,
,YDR372C,,,
,YDR374W-A,,,
,YDR375C,,,
,YDR377W,,,
,YDR378C,,,
,YDR379C-A,,,
,YDR386W,,,
,YDR387C,,,
,YDR388W,,,
,YDR392W,,,
,YDR394W,,,
,YDR397C,,,
,YDR399W,,,
,YDR401W,,,
,YDR403W,,,
,YDR404C,,,
,YDR405W,,,
,YDR408C,,,
,YDR409W,,,
,YDR410C,,,
,YDR411C,,,
,YDR419W,,,
,YDR421W,,,
,YDR423C,,,
,YDR424C,,,
,YDR428C,,,
,YDR434W,,,
,YDR435C,,,
,YDR436W,,,
,YDR438W,,,
,YDR441C,,,
,YDR444W,,,
,YDR447C,,,
,YDR453C,,,
,YDR454C,,,
,YDR459C,,,
,YDR461W,,,
,YDR462W,,,
,YDR467C,,,
,YDR468C,,,
,YDR469W,,,
,YDR476C,,,
,YDR478W,,,
,YDR480W,,,
,YDR486C,,,
,YDR488C,,,
,YDR489W,,,
,YDR493W,,,
,YDR497C,,,
,YDR498C,,,
,YDR500C,,,
,YDR503C,,,
,YDR510W,,,
,YDR511W,,,
,YDR513W,,,
,YDR514C,,,
,YDR517W,,,
,YDR519W,,,
,YDR529C,,,
,YDR530C,,,
,YDR531W,,,
,YDR533C,,,
,YDR538W,,,
,YDR541C,,,
,YEL003W,,,
,YEL004W,,,
,YEL005C,,,
,YEL006W,,,
,YEL009C,,,
,YEL012W,,,
,YEL016C,,,
,YEL017W,,,
,YEL020C,,,
,YEL020W-A,,,
,YEL025C,,,
,YEL026W,,,
,YEL028W,,,
,YEL029C,,,
,YEL030W,,,
,YEL038W,,,
,YEL040W,,,
,YEL041W,,,
,YEL042W,,,
,YEL044W,,,
,YEL048C,,,
,YEL049W,,,
,YEL050C,,,
,YEL051W,,,
,YEL052W,,,
,YEL054C,,,
,YEL058W,,,
,YEL059C-A,,,
,YEL062W,,,
,YEL064C,,,
,YEL066W,,,
,YEL067C,,,
,YEL068C,,,
,YEL070W,,,
,YEL072W,,,
,YER005W,,,
,YER007C-A,,,
,YER007W,,,
